,Unnamed: 0,tic,high,low,open,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,date
0,0,BVH,0.041666667,0.031668697,0.031476998,0.048250905,0.067928759,0.431442442,0.0,0.025304593,0.0,0.517042488,1.0,0.013528963,0.0,0.141400412,0.0,2009-12-22
1,1,BVH,0.045238095,0.042630938,0.043583535,0.056694813,0.065881208,0.432511929,0.058235476,0.091726218,1.0,0.517042488,1.0,0.018530869,0.005242529,0.143711739,0.0,2009-12-23
2,2,BVH,0.061904762,0.051157125,0.060532688,0.07358263,0.059617988,0.435761577,0.078045099,0.0839183,1.0,0.556362664,1.0,0.026867378,0.013980078,0.140448656,0.0,2009-12-24
3,3,BVH,0.06547619,0.06090134,0.078692494,0.060313631,0.041902868,0.435088704,0.079887972,0.090164804,0.614381332,0.469139148,0.281771087,0.03125,0.018573533,0.146702918,0.0,2009-12-28
4,4,BVH,0.060714286,0.049939099,0.049636804,0.067551267,0.073479144,0.435094578,0.078442976,0.093567444,0.670682713,0.448659575,0.027998699,0.03210747,0.019472252,0.147790613,0.0,2009-12-29
5,5,BVH,0.073809524,0.057247259,0.056900726,0.085645356,0.0627845,0.439662864,0.085175113,0.092541227,0.760947379,0.540343333,0.22767099,0.035782339,0.023323906,0.147110788,0.0,2009-12-30
6,6,BVH,0.08452381,0.069427527,0.098062954,0.067551267,0.010851172,0.437735781,0.083424943,0.094802834,0.592846868,0.538222956,0.345298249,0.035858899,0.023404149,0.170496256,0.0,2009-12-31
7,7,BVH,0.071428571,0.062119367,0.061743341,0.082026538,0.029901007,0.440359858,0.085542051,0.096044706,0.655778089,0.511849258,0.213512706,0.037823933,0.025463714,0.148198508,0.0,2010-01-04
8,8,BVH,0.08452381,0.082825822,0.098062954,0.084439083,0.042101701,0.442793106,0.087639676,0.097102911,0.664713138,0.577810032,0.340129593,0.039681784,0.027410939,0.138817128,0.0,2010-01-05
9,9,BVH,0.071428571,0.071863581,0.073849879,0.083232811,0.042797614,0.44402943,0.08870659,0.098501728,0.655906831,0.508984464,0.174639654,0.041071924,0.028867954,0.136233844,0.0,2010-01-06
10,10,BVH,0.070238095,0.074299635,0.079903148,0.077201448,0.02122853,0.442894256,0.088265894,0.100122247,0.613842881,0.493821572,0.174639654,0.041634909,0.029458022,0.134874219,0.0,2010-01-07
11,11,BVH,0.076190476,0.079171742,0.078692494,0.07840772,0.054296049,0.44228514,0.08802185,0.101550357,0.618899505,0.519201097,0.234610476,0.042221212,0.030072531,0.122229756,0.0,2010-01-08
12,12,BVH,0.071428571,0.070645554,0.084745763,0.07840772,0.020890092,0.441688384,0.087766955,0.102829657,0.618899505,0.483162524,0.113458731,0.042723759,0.030599253,0.114343965,0.0,2010-01-11
13,13,BVH,0.067857143,0.073081608,0.079903148,0.071170084,0.031984516,0.438682988,0.086893426,0.103621474,0.570898199,0.459912586,0.113458731,0.042587652,0.030456599,0.123861311,0.0,2010-01-12
14,14,BVH,0.077380952,0.080389769,0.084745763,0.089264174,0.127341569,0.44250668,0.088638922,0.103873258,0.642589092,0.553104086,0.214114186,0.043808356,0.031736026,0.118422839,0.0,2010-01-13
15,15,BVH,0.096428571,0.104750305,0.108958838,0.108564536,0.06394365,0.452028206,0.095325538,0.100480361,0.698223238,0.69673759,0.367615834,0.046230497,0.034274688,0.11543166,0.0,2010-01-14
16,16,BVH,0.108333333,0.110840438,0.110169492,0.120627262,0.058621711,0.463361005,0.103825003,0.095912705,0.725817375,0.720653531,0.440613546,0.049177464,0.037363424,0.119238603,0.0,2010-01-15
17,17,BVH,0.104761905,0.104750305,0.110169492,0.117008444,0.059472037,0.470764077,0.110035672,0.095334261,0.664826295,0.623984086,0.326018913,0.052758194,0.041116409,0.11475186,0.0,2010-01-19
18,18,BVH,0.114285714,0.119366626,0.128329298,0.120627262,0.064421694,0.476672812,0.113949449,0.098895644,0.672489992,0.638565798,0.389416732,0.054973323,0.043438101,0.129707678,0.0,2010-01-20
19,19,BVH,0.108333333,0.110840438,0.110169492,0.112183353,0.044417886,0.477511053,0.116015985,0.102754024,0.637315878,0.581942382,0.277002027,0.056532359,0.045072136,0.178518011,0.0,2010-01-21
20,20,BVH,0.104761905,0.101096224,0.113801453,0.114595899,0.043700821,0.478540285,0.119098146,0.103728297,0.642837397,0.554502926,0.16212312,0.058080097,0.04669433,0.247042809,0.0,2010-01-22
21,21,BVH,0.107142857,0.116930572,0.119854722,0.119420989,0.036077502,0.480656369,0.122683893,0.104232542,0.653743781,0.575607525,0.181783304,0.059737043,0.048430986,0.221210048,0.0,2010-01-25
22,22,BVH,0.114285714,0.124238733,0.128329298,0.126658625,0.029820628,0.484563153,0.125799711,0.108066931,0.669408446,0.590335212,0.239043415,0.061604421,0.050388197,0.209517314,0.0,2010-01-26
23,23,BVH,0.114285714,0.116930572,0.128329298,0.114595899,0.031669346,0.482200256,0.126769646,0.11228271,0.620972489,0.555080484,0.152756779,0.062778494,0.051618751,0.190346685,0.0,2010-01-27
24,24,BVH,0.110714286,0.116930572,0.11622276,0.123039807,0.040166258,0.483144957,0.129637411,0.113101505,0.639843256,0.553180636,0.152756779,0.064236111,0.053146488,0.19836844,0.0,2010-01-28
25,25,BVH,0.114285714,0.124238733,0.124697337,0.126658625,0.031313986,0.484739749,0.131300235,0.117861826,0.647621379,0.562555291,0.185159874,0.065742732,0.054725587,0.210469069,0.0,2010-01-29
26,26,BVH,0.120238095,0.131546894,0.134382567,0.132689988,0.032699467,0.487818719,0.134642935,0.11962651,0.660271292,0.575941679,0.237139816,0.067391847,0.056454036,0.182868789,0.0,2010-02-01
27,27,BVH,0.125,0.131546894,0.134382567,0.137515078,0.021511972,0.491546411,0.138384104,0.121186241,0.670073161,0.577610212,0.276603141,0.06912157,0.05826697,0.167777007,0.0,2010-02-02
28,28,BVH,0.144047619,0.143727162,0.142857143,0.15681544,0.055643455,0.501730269,0.145468654,0.121056545,0.705261354,0.621050694,0.407631272,0.073408918,0.060736032,0.169408561,0.0,2010-02-03
29,29,BVH,0.148809524,0.15956151,0.158595642,0.159227986,0.036822066,0.509876812,0.15109471,0.123655134,0.709270954,0.632392014,0.4349811,0.077458079,0.063144394,0.230319498,0.0,2010-02-04
30,30,BVH,0.146428571,0.15225335,0.161016949,0.159227986,0.043066249,0.515338181,0.155410684,0.127697721,0.709270954,0.609828827,0.336022384,0.08084032,0.065406795,0.230727393,0.0,2010-02-05
