,Unnamed: 0,high,low,open,close,volume,tic,date,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
375,375,32.3,31.4,31.4,31.5,257750,BVH,2010-01-08,0.1592221661114443,32.94411777482075,29.071266840563872,61.88995049665654,68.49660829783818,23.487284969867414,31.00769230769231,31.00769230769231,18.1299991607666,0.0
409,409,31.9,30.7,31.9,31.5,99820,BVH,2010-01-11,0.1504589637122251,32.921832781483005,29.163881504231284,61.88995049665654,37.94522491840478,11.376263509374468,31.042857142857144,31.042857142857144,17.549999237060547,0.0
443,443,31.6,30.9,31.5,30.9,152270,BVH,2010-01-12,0.106325509475063,32.845461784577765,29.22120488208891,57.08981989031472,18.23529411764708,11.376263509374466,31.03333333333333,31.03333333333333,18.25,0.0
477,477,32.4,31.5,31.9,32.4,603080,BVH,2010-01-13,0.162475425582059,32.998067251911806,29.239432748088195,64.25890915219583,97.23756906077358,21.438358635705168,31.11875,31.11875,17.850000381469727,0.0
511,511,34.0,33.5,33.9,34.0,303360,BVH,2010-01-14,0.3022965395727119,33.582665891173455,28.993804697061837,69.82232375135334,219.00161030595837,36.783261388809215,31.288235294117644,31.288235294117644,17.6299991607666,0.0
545,545,35.0,34.0,34.0,35.0,278200,BVH,2010-01-15,0.4687157134709316,34.32575860385541,28.66313028503347,72.58173751607711,239.27613941018765,44.080530282386334,31.494444444444444,31.494444444444444,17.90999984741211,0.0
579,579,34.7,33.5,34.0,34.7,282220,BVH,2010-01-19,0.5774278874159933,34.86874606421268,28.621253935787315,66.482629470202,157.32546705998047,32.62499518676152,31.745,31.745,17.579999923706055,0.0
613,613,35.5,34.7,35.5,35.0,305620,BVH,2010-01-20,0.6641961159860514,35.21092050304157,28.879079496958436,67.24899915671149,169.68698517298202,38.96260385618389,31.9,31.9,18.68000030517578,0.0
647,647,35.0,34.0,34.0,34.3,211050,BVH,2010-01-21,0.6765054658683454,35.391593957309304,29.158406042690693,63.73158782466455,121.68498168498137,27.724986876610146,32.00909090909091,32.00909090909091,22.270000457763672,0.0
681,681,34.7,33.2,34.3,34.5,207660,BVH,2010-01-22,0.691619465149067,35.66106166476625,29.228938335233767,64.28373966683846,98.42342342342312,16.241034287981826,32.11739130434783,32.11739130434783,27.309999465942383,0.0
