,tic,date,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
17,^VNINDEX,2000-09-08,112.39,112.39,112.39,112.39,49500,0.9474759301066058,122.95027107356701,99.59528448198854,68.66675449511418,15.640271170622349,25.792204596625368,111.27277777777778,111.27277777777778,18.459999084472656,0.0
18,^VNINDEX,2000-09-11,114.11,114.11,114.11,114.11,31300,0.8805122021738043,122.84501125447856,99.99919927183721,71.3332501821269,38.77334100544647,33.991669121300646,111.42210526315789,111.42210526315789,18.399999618530273,0.0
19,^VNINDEX,2000-09-13,116.08,116.08,116.08,116.08,18400,0.9466879025114281,122.96669585685076,100.34330414314924,73.959004688259,64.78532996596022,41.85728517084964,111.655,111.655,18.31999969482422,0.0
20,^VNINDEX,2000-09-15,118.04,118.04,118.04,118.04,45900,1.116142780495963,122.78020188796567,102.3337981120343,76.20247608650291,89.3069445415765,48.397049084886724,111.95904761904761,111.95904761904761,18.520000457763672,0.0
21,^VNINDEX,2000-09-18,118.19,118.19,118.19,118.19,64600,1.2440987438881024,122.4869810368767,104.29101896312326,76.36368946867725,87.5692809383879,48.86755190852472,112.24227272727272,112.24227272727272,20.25,0.0
22,^VNINDEX,2000-09-20,118.21,118.21,118.21,118.21,41600,1.329944419458485,122.14677942311606,106.11422057688397,76.3857545424627,84.16729380940424,48.93391440236743,112.50173913043479,112.50173913043479,19.93000030517578,0.0
23,^VNINDEX,2000-09-22,118.76,118.76,118.76,118.76,66900,1.4187320302484352,121.88289050750181,107.7341094924982,76.99665800115703,87.88350581555092,50.810610430147605,112.7625,112.7625,20.739999771118164,0.0
24,^VNINDEX,2000-09-25,118.98,118.98,118.98,118.98,56600,1.4863858835730923,121.66279973853861,109.1602002614614,77.24029785654028,87.13780175887324,51.57161116112777,113.0112,113.0112,21.40999984741211,0.0
25,^VNINDEX,2000-09-27,119.69,119.69,119.69,119.69,56610,1.5714854404707665,121.62031980038351,110.30768019961646,78.01760270082623,93.30418934138025,54.025366623108475,113.26807692307692,113.26807692307692,21.670000076293945,0.0
26,^VNINDEX,2000-09-29,120.71,120.71,120.71,120.71,52800,1.6917266297668618,121.86636876153426,111.0966312384657,79.07945212025712,103.06152644287678,57.344408600538976,113.5437037037037,113.5437037037037,20.56999969482422,0.0
27,^VNINDEX,2000-10-02,120.92,120.92,120.92,120.92,48600,1.7807804920240216,122.23792238283316,111.60907761716682,79.29249063582563,101.37579988365346,58.01153373090217,113.80714285714285,113.80714285714285,21.229999542236328,0.0
28,^VNINDEX,2000-10-04,121.14,121.14,121.14,121.14,58400,1.8454129889961735,122.70944328405362,111.87155671594637,79.51852421534457,99.88324576765928,58.73428324434224,114.05999999999999,114.05999999999999,21.540000915527344,0.0
29,^VNINDEX,2000-10-06,122.21,122.21,122.21,122.21,39600,1.9521647253264973,123.39812284369746,111.85187715630254,80.58480412455957,109.41876345454968,62.12388027237008,114.33166666666666,114.33166666666666,22.709999084472656,0.0
30,^VNINDEX,2000-10-09,124.33,124.33,124.33,124.33,25900,2.1679739757776133,124.47821072233809,111.48078927766191,82.45675811967729,136.30653887619548,67.73672365958598,115.14266666666667,114.6541935483871,24.020000457763672,0.0
31,^VNINDEX,2000-10-11,126.45,126.45,126.45,126.45,53300,2.4675697471356983,125.87367076546927,110.83432923453073,84.04785205562274,163.16106393139702,72.14864243729953,115.97266666666665,115.0228125,26.56999969482422,0.0
32,^VNINDEX,2000-10-13,128.57,128.57,128.57,128.57,51900,2.8302209975021952,127.64226650929865,110.03873349070139,85.41615213240972,188.33259473226136,75.70067505573932,116.81233333333334,115.43333333333334,27.600000381469727,0.0
33,^VNINDEX,2000-10-16,130.71,130.71,130.71,130.71,26600,3.2404524433189295,129.74555895639136,109.30644104360869,86.61504472319218,210.0771782183534,78.64015369220535,117.66266666666667,115.88264705882354,26.790000915527344,0.0
34,^VNINDEX,2000-10-18,132.85,132.85,132.85,132.85,25700,3.684092711656916,132.00775253998657,108.81424746001345,87.66410862724999,224.70270779078155,81.08597016241889,118.527,116.36742857142858,28.719999313354492,0.0
35,^VNINDEX,2000-10-20,135.04,135.04,135.04,135.04,65900,4.153387250622998,134.3069503182606,108.68204968173944,88.60923827217339,226.09664029619776,83.19144544462893,119.407,116.8861111111111,24.239999771118164,0.0
36,^VNINDEX,2000-10-23,136.55,136.55,136.55,136.55,39100,4.586821716898854,136.43699301957733,108.95600698042264,89.19946929723034,212.9581151832464,84.46596603550233,120.27999999999999,117.41756756756756,24.690000534057617,0.0
37,^VNINDEX,2000-10-25,137.08,137.08,137.08,137.08,45000,4.91345478099835,138.19901192214695,109.66298807785306,89.39892269872823,190.54059429571572,84.89568078616026,121.11333333333333,117.93499999999999,26.649999618530273,0.0
38,^VNINDEX,2000-10-27,139.57,139.57,139.57,139.57,88200,5.302195475743645,140.30159464982842,110.10640535017157,90.27202573539427,187.935637748745,86.7381017865282,121.97233333333334,118.4897435897436,26.469999313354492,0.0
39,^VNINDEX,2000-10-30,140.84,140.84,140.84,140.84,101200,5.642619593820669,142.42413950501924,110.45986049498077,90.67715319070038,173.59381019648112,87.56508842168385,122.81633333333335,119.04849999999999,25.459999084472656,0.0
40,^VNINDEX,2000-11-01,143.33,143.33,143.33,143.33,95900,6.0351968577613775,144.84935768107775,110.56364231892226,91.40329303742497,171.15374562183086,89.00239741944405,123.68599999999999,119.64073170731709,24.280000686645508,0.0
41,^VNINDEX,2000-11-03,145.83,145.83,145.83,145.83,78800,6.465501241108598,147.41660585441193,110.7603941455881,92.04669622765286,168.0750926133443,90.21612866717041,124.58166666666666,120.26428571428572,23.670000076293945,0.0
42,^VNINDEX,2000-11-06,148.57,148.57,148.57,148.57,55300,6.939502236640976,150.1309411201098,111.08205887989023,92.66879621107965,166.02415089254325,91.33634045668715,125.57266666666668,120.92255813953489,24.520000457763672,0.0
43,^VNINDEX,2000-11-08,151.32,151.32,151.32,151.32,29200,7.443658658393275,152.99083014414236,111.47816985585757,93.21945504042354,164.39485055013571,92.28414598097736,126.71666666666667,121.61340909090909,25.65999984741211,0.0
44,^VNINDEX,2000-11-10,154.08,154.08,154.08,154.08,57300,7.966989455916547,155.9289549421333,112.0500450578667,93.7099777744882,162.75410491174094,93.09463073511888,128.01433333333335,122.33488888888888,28.530000686645508,0.0
